time;level;AC powered;USB powered;Wireless powered;status;health;present;scale;voltage;temperature;technology;
1441536255;1;false;true;false;2;2;true;100;3602;290;Li-ion;
1441536260;1;false;true;false;2;2;true;100;3604;290;Li-ion;
1441536265;1;false;true;false;2;2;true;100;3604;290;Li-ion;
1441536271;1;false;true;false;2;2;true;100;3606;290;Li-ion;1441548241
1441536276;1;false;false;false;4;2;true;100;3607;290;Li-ion;1441536291
1441536281;1;false;false;false;4;2;true;100;3607;290;Li-ion;11950
1441536286;1;false;false;false;4;2;true;100;3606;290;Li-ion;3.3194444444
1441536291;1;true;false;false;2;2;true;100;3607;290;Li-ion;
1441536296;1;true;false;false;2;2;true;100;3607;290;Li-ion;
1441536301;1;true;false;false;2;2;true;100;3611;290;Li-ion;
1441536306;1;true;false;false;2;2;true;100;3611;290;Li-ion;
1441536311;1;true;false;false;2;2;true;100;3615;290;Li-ion;
1441536316;1;true;false;false;2;2;true;100;3615;290;Li-ion;
1441536321;1;true;false;false;2;2;true;100;3619;290;Li-ion;
1441536326;1;true;false;false;2;2;true;100;3619;290;Li-ion;
1441536331;1;true;false;false;2;2;true;100;3624;290;Li-ion;
1441536337;1;true;false;false;2;2;true;100;3624;290;Li-ion;
1441536342;1;true;false;false;2;2;true;100;3628;290;Li-ion;
1441536347;1;true;false;false;2;2;true;100;3628;290;Li-ion;
1441536352;1;true;false;false;2;2;true;100;3633;290;Li-ion;
1441536357;1;true;false;false;2;2;true;100;3633;290;Li-ion;
1441536362;1;true;false;false;2;2;true;100;3638;290;Li-ion;
1441536367;1;true;false;false;2;2;true;100;3643;290;Li-ion;
1441536372;1;true;false;false;2;2;true;100;3643;290;Li-ion;
1441536378;1;true;false;false;2;2;true;100;3649;290;Li-ion;
1441536383;1;true;false;false;2;2;true;100;3649;290;Li-ion;
1441536388;1;true;false;false;2;2;true;100;3654;290;Li-ion;
1441536393;1;true;false;false;2;2;true;100;3654;290;Li-ion;
1441536398;1;true;false;false;2;2;true;100;3660;290;Li-ion;
1441536403;1;true;false;false;2;2;true;100;3660;290;Li-ion;
1441536408;1;true;false;false;2;2;true;100;3665;290;Li-ion;
1441536413;1;true;false;false;2;2;true;100;3665;290;Li-ion;
1441536418;1;true;false;false;2;2;true;100;3671;290;Li-ion;
1441536423;1;true;false;false;2;2;true;100;3671;290;Li-ion;
1441536429;1;true;false;false;2;2;true;100;3678;290;Li-ion;
1441536434;1;true;false;false;2;2;true;100;3678;290;Li-ion;
1441536439;1;true;false;false;2;2;true;100;3686;290;Li-ion;
